,ft,bt,km,transmission,ownerNo,model,modelYear,price,Mileage,Engine,Seats,city
5002,Petrol,Sedan,83858.0,Manual,3,Toyota Corolla Altis,2008.0,300000.0,14.53,1798.0,5.0,Hyderabad
5003,Petrol,MUV,48869.0,Manual,1,Datsun GO Plus,2021.0,567000.0,19.02,1198.0,7.0,Hyderabad
5004,Petrol,Hatchback,86555.0,Manual,1,Maruti Alto K10,2017.0,298000.0,24.39,998.0,5.0,Hyderabad
5005,Petrol,Sedan,60000.0,Manual,2,Volkswagen Vento,2011.0,350000.0,15.04,1598.0,5.0,Hyderabad
5006,Petrol,MUV,39316.0,Manual,1,Renault Triber,2022.0,674000.0,20.0,999.0,7.0,Hyderabad
5007,Diesel,SUV,110000.0,Manual,2,Renault Duster,2014.0,450000.0,20.45,1461.0,5.0,Hyderabad
5008,Diesel,Hatchback,100000.0,Manual,2,Tata Bolt,2016.0,270000.0,22.95,1248.0,5.0,Hyderabad
5009,Petrol,SUV,60000.0,Manual,1,Hyundai Venue,2020.0,1000000.0,18.27,998.0,5.0,Hyderabad
5010,Diesel,SUV,100000.0,Manual,1,Mahindra XUV500,2016.0,1050000.0,16.0,1949.5,7.0,Hyderabad
5011,Diesel,Sedan,110000.0,Manual,2,Skoda Laura,2012.0,450000.0,20.0,1949.5,5.0,Hyderabad
5012,Diesel,SUV,135000.0,Automatic,1,Mercedes-Benz M-Class,2011.0,1725000.0,18.9,1949.5,5.0,Hyderabad
5013,Petrol,SUV,19500.0,Automatic,1,Toyota Urban cruiser,2022.0,1175000.0,18.76,1462.0,5.0,Hyderabad
5014,Petrol,Sedan,22127.0,Automatic,1,Honda Amaze,2021.0,940000.0,18.3,1199.0,5.0,Hyderabad
5015,Petrol,Hatchback,78010.0,Manual,2,Maruti Alto 800,2015.0,250999.99999999997,22.05,796.0,5.0,Hyderabad
5016,Petrol,SUV,14087.0,Manual,1,Ford Ecosport,2021.0,988000.0000000001,15.9,1496.0,5.0,Hyderabad
5017,Electric,SUV,30000.0,Automatic,1,MG ZS EV,2022.0,1776500.0,18.9,745.5,5.0,Hyderabad
5018,Diesel,SUV,55253.0,Manual,1,Tata Nexon,2022.0,1157000.0,21.19,1497.0,5.0,Hyderabad
5019,Petrol,SUV,63008.0,Automatic,1,Kia Seltos,2020.0,1598000.0,16.5,1353.0,5.0,Hyderabad
5020,Electric,SUV,22000.0,Automatic,1,MG ZS EV,2022.0,1776500.0,18.9,745.5,5.0,Hyderabad
5021,Petrol,Hatchback,73944.0,Manual,1,Maruti Alto 800,2015.0,266000.0,22.05,796.0,5.0,Hyderabad
5022,Petrol,Sedan,37000.0,Automatic,1,Skoda Superb,2021.0,1776500.0,15.1,1949.5,5.0,Hyderabad
5023,Petrol,Hatchback,52052.0,Manual,2,Maruti Alto 800,2017.0,279000.0,22.05,796.0,5.0,Hyderabad
5024,Petrol,Hatchback,42399.0,Manual,2,Hyundai Grand i10,2018.0,465000.00000000006,18.9,1197.0,5.0,Hyderabad
5025,Diesel,Sedan,50000.0,Manual,1,Maruti Swift Dzire,2015.0,210000.0,26.59,1248.0,5.0,Hyderabad
5026,Cng,Hatchback,64584.0,Manual,1,Maruti Wagon R,2020.0,549000.0,27.984999999999992,998.0,5.0,Hyderabad
5027,Petrol,Minivans,44000.0,Manual,1,Maruti Eeco,2014.0,345000.0,15.37,1196.0,5.0,Hyderabad
5028,Petrol,Hatchback,101434.0,Automatic,1,Renault KWID,2017.0,300000.0,23.01,999.0,5.0,Hyderabad
5029,Petrol,,13500.0,Manual,1,Maruti Eeco,2019.0,495000.0,19.71,1197.0,5.0,Hyderabad
5030,Diesel,Sedan,75000.0,Manual,2,Volkswagen Ameo,2017.0,475000.0,21.66,1498.0,5.0,Hyderabad
5031,Diesel,Sedan,75000.0,Manual,1,Hyundai Verna,2012.0,445000.0,22.32,1582.0,5.0,Hyderabad
5032,Petrol,Sedan,96402.0,Manual,1,Honda City,2010.0,165000.0,17.0,1497.0,5.0,Hyderabad
5033,Petrol,SUV,20225.0,Automatic,1,MG Hector Plus,2021.0,1491000.0,18.9,1451.0,6.0,Hyderabad
5034,Petrol,Hatchback,55000.0,Manual,1,Hyundai i10,2016.0,290000.0,19.81,1086.0,5.0,Hyderabad
5035,Petrol,SUV,44641.0,Manual,1,Tata Nexon,2021.0,860000.0,17.33,1199.0,5.0,Hyderabad
5036,Petrol,Hatchback,83958.0,Manual,1,Hyundai i10,2010.0,241000.0,20.36,1197.0,5.0,Hyderabad
5037,Diesel,SUV,124406.0,Manual,3,Mahindra Scorpio,2006.5,121000.0,10.5,1949.5,7.0,Hyderabad
5038,Petrol,SUV,35226.0,Automatic,2,Tata Nexon,2018.0,817000.0,17.0,1198.0,5.0,Hyderabad
5039,Petrol,Hatchback,75552.0,Automatic,2,Hyundai i10,2011.0,330000.0,16.95,1197.0,5.0,Hyderabad
5040,Petrol,Hatchback,107972.0,Manual,1,Hyundai i10,2010.0,185000.0,20.36,1197.0,5.0,Hyderabad
5041,Petrol,Sedan,46451.0,Manual,1,Volkswagen Ameo,2019.0,568000.0,19.44,999.0,5.0,Hyderabad
